x,y
3472,5844
3464,5838
3528,5841
3954,5838
3582,5834
2210,5829
3568,5823
3680,5807
3237,5807
3341,5805
3493,5795
3334,5796
3442,5797
3484,5785
3694,5755
3311,5755
3363,5754
3354,5747
3412,5750
3747,5743
3462,5745
3509,5740
3451,5740
4069,5740
4110,5719
1675,5716
3338,5710
3698,5693
3530,5687
1601,5657
3261,5657
1693,5656
3406,5654
3355,5654
3716,5647
3546,5633
3491,5636
1566,5628
1471,5626
1529,5597
3319,5599
3375,5593
1714,5591
3428,5588
1401,5559
3289,5560
3277,5551
3173,5545
3398,5548
1819,5541
3451,5541
3442,5536
3557,5525
3262,5516
3368,5512
1518,5504
3206,5504
1611,5506
3306,5501
1678,5491
1576,5474
3129,5466
1393,5465
3170,5464
3117,5462
1635,5453
1360,5431
3104,5423
1267,5420
3097,5414
3052,5418
1328,5396
1649,5394
1245,5385
3224,5379
3083,5380
3074,5374
3032,5374
3112,5343
3060,5335
3005,5325
1625,5300
3090,5299
1236,5289
1086,5284
1679,5281
1591,5260
1206,5252
3085,5247
1057,5244
3133,5243
1645,5242
3026,5238
1696,5226
2907,5216
3229,5214
1605,5207
1754,5207
1029,5204
3106,5204
3060,5203
1090,5191
1660,5190
1305,5176
939,5175
1714,5172
1003,5164
3037,5162
1768,5156
1061,5151
1624,5151
1680,5135
914,5132
3119,5130
3071,5130
2868,5129
975,5123
1589,5113
1038,5111
2963,5113
1794,5100
1098,5098
1645,5098
886,5090
3048,5091
2998,5086
1841,5082
1699,5084
947,5080
1557,5075
1007,5071
3225,5067
1751,5068
1612,5061
1073,5058
3076,5061
3028,5056
3069,5053
3018,5047
1666,5046
922,5038
3153,5032
1523,5034
1717,5032
983,5029
3050,5015
1633,5009
772,5008
834,5003
2956,5007
897,4996
1685,4995
3264,4994
3170,4994
3128,4994
3082,4993
958,4987
3032,4978
1356,4973
1602,4971
749,4965
1803,4965
811,4959
1654,4958
872,4952
936,4946
3080,4944
1707,4944
1001,4936
1571,4932
1063,4927
1818,4921
1765,4919
1623,4919
724,4916
787,4913
849,4910
1678,4907
913,4903
3005,4901
976,4895
2992,4894
2953,4892
1542,4892
1041,4886
3084,4884
1594,4880
1413,4869
765,4869
701,4870
2059,4865
1649,4866
829,4867
2971,4860
889,4861
1459,4853
3063,4852
1513,4851
1567,4843
3009,4842
743,4823
1859,4818
1320,4821
805,4820
3040,4821
868,4817
1485,4810
2987,4810
2986,4800
5593,4787
3016,4785
3199,4777
