x,y
1910,5733
1761,5632
1713,5385
1798,5251
1917,5161
947,5080
1438,5010
834,5003
897,4996
872,4952
2011,4931
1939,4857
1318,4832
1906,4819
1289,4784
1873,4779
2093,4766
1889,4736
2055,4724
1241,4692
2111,4672
2200,4663
2417,4657
1983,4636
2030,4634
2122,4628
1795,4607
2088,4587
2133,4585
1676,4568
2056,4547
2100,4546
1964,4545
1799,4517
2071,4505
2113,4504
1773,4486
2084,4464
2041,4462
1249,4458
1697,4433
2014,4419
2265,4417
1869,4388
1675,4384
2029,4379
2472,4358
1706,4353
2321,4342
2282,4339
1361,4324
1919,4322
2436,4316
1589,4287
1636,4287
2402,4272
1624,4254
1618,4240
2372,4227
2418,4198
2380,4191
1895,4183
2006,4163
2390,4153
1918,4148
2159,4111
1613,4078
1848,4037
1997,3989
2044,3915
1817,3887
2395,3841
2365,3807
2388,3796
1733,3791
1872,3780
2141,3752
2081,3751
1564,3733
1870,3731
1605,3712
2479,3704
2357,3669
2535,3658
2508,3636
2072,3602
2568,3599
2362,3575
2639,3573
1840,3559
2583,3519
1666,3513
2716,3500
1447,3493
1708,3489
2594,3480
1673,3457
2091,3449
2126,3431
2786,3418
1682,3401
1469,3350
1735,3328
1750,3275
1904,3267
1794,3260
1837,3246
1100,3239
1764,3222
3007,3217
2976,3201
1853,3197
1781,3169
3055,3167
1826,3157
3025,3148
2605,3108
1776,3065
1798,3013
2777,3000
3953,2979
2819,2976
4273,2972
3875,2942
2902,2901
2143,2862
2193,2854
2948,2851
3893,2820
2180,2816
3336,2813
3971,2806
3814,2764
2948,2762
4253,2754
3889,2742
2792,2717
3731,2714
3885,2702
3175,2699
4182,2680
4310,2662
4144,2647
3795,2647
5616,2629
4272,2623
3657,2621
4366,2608
4146,2605
4189,2595
4680,2581
4278,2576
4107,2570
3328,2568
4150,2560
4027,2554
4194,2549
4378,2546
4897,2543
4067,2540
3946,2540
3745,2533
4284,2529
4110,2527
4513,2513
4153,2514
3904,2514
3693,2510
4025,2510
4197,2503
5555,2498
4863,2499
4067,2497
4110,2481
2597,2476
4154,2468
4023,2465
4200,2455
5597,2450
3857,2450
3773,2447
3973,2438
4110,2434
3731,2427
4012,2421
4154,2421
4541,2417
3934,2412
2441,2410
3751,2408
3558,2405
4064,2403
2696,2401
3719,2389
2485,2381
2739,2378
4370,2371
4554,2367
2443,2363
4606,2357
4061,2354
3439,2342
3868,2340
2669,2336
3155,2324
2539,2310
5309,2310
4291,2305
4425,2305
3278,2298
4207,2293
3859,2293
2496,2288
2588,2287
4251,2274
3051,2266
2639,2266
3102,2261
2547,2263
3152,2257
5197,2255
4209,2244
2690,2245
2597,2239
4344,2237
2733,2236
2742,2227
4254,2224
3281,2220
2650,2218
5598,2216
4167,2215
2935,2211
2702,2198
4348,2187
2899,2183
3947,2181
2800,2176
2854,2161
5203,2161
4073,2156
5090,2114
2878,2094
3722,2092
3539,2088
3805,2077
3975,2069
3084,2066
3758,2060
2270,2059
3702,2047
3802,2035
3217,1975
3549,1963
2671,1940
3243,1935
3480,1908
2317,1845
2425,1756
3674,1701
3942,1679
4416,1672
3434,1661
3710,1660
4032,1659
3661,1649
3746,1618
4171,1603
4471,1584
3784,1574
4071,1560
4318,1557
3875,1546
4168,1544
5292,1543
4117,1521
3968,1521
3864,1488
4445,1363
4494,1325
4359,1318
5096,1292
4544,1286
1061,1201
5449,1192
4950,1191
5342,1174
5118,1154
5249,1097
5200,1059
5212,996
5104,987
4936,951
5280,908
