Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Tdry,Wspd
2007,1,1,0,0,-0.0,0.0,0.0,-7.45,1.75
2007,1,1,1,0,-0.0,0.0,0.0,-7.39,1.7
2007,1,1,2,0,583.76,83.2,163.75,-7.34,1.65
2007,1,1,3,0,659.93,117.2,299.75,-7.28,1.6
2007,1,1,4,0,654.16,133.15,381.25,-7.22,1.55
2007,1,1,5,0,596.82,154.1,416.05,-7.16,1.5
2007,1,1,6,0,663.22,128.25,427.7,-7.11,1.45
2007,1,1,7,0,573.9,110.15,349.0,-7.05,1.4
2007,1,1,8,0,496.78,81.25,247.85,-1.96,1.38
2007,1,1,9,0,320.23,41.4,110.1,-1.79,1.45
2007,1,1,10,0,41.17,3.7,6.25,-2.36,1.59
2007,1,1,11,0,-0.0,0.0,0.0,-3.57,1.93
2007,1,1,12,0,-0.0,0.0,0.0,-4.52,2.21
2007,1,1,13,0,-0.0,0.0,0.0,-5.21,2.34
2007,1,1,14,0,-0.0,0.0,0.0,-5.96,2.28
2007,1,1,15,0,-0.0,0.0,0.0,-6.8,2.28
2007,1,1,16,0,-0.0,0.0,0.0,-7.49,2.48
2007,1,1,17,0,-0.0,0.0,0.0,-8.09,2.62
2007,1,1,18,0,-0.0,0.0,0.0,-8.64,2.69
2007,1,1,19,0,-0.0,0.0,0.0,-8.55,2.14
2007,1,1,20,0,-0.0,0.0,0.0,-8.83,2.07
2007,1,1,21,0,-0.0,0.0,0.0,-8.38,1.86
2007,1,1,22,0,-0.0,0.0,0.0,-7.06,1.59
2007,1,1,23,0,-0.0,0.0,0.0,-7.07,1.52
2007,1,2,0,0,-0.0,0.0,0.0,-7.49,1.72
2007,1,2,1,0,-0.0,0.0,0.0,-8.01,1.79
2007,1,2,2,0,783.47,67.8,175.9,-7.35,1.59
2007,1,2,3,0,849.12,84.9,320.05,-6.2,0.83
2007,1,2,4,0,915.15,81.4,429.1,-4.73,0.55
2007,1,2,5,0,871.77,90.05,473.6,-3.28,1.03
2007,1,2,6,0,823.65,87.95,461.0,-2.18,1.52
2007,1,2,7,0,783.98,67.6,395.25,-2.16,2.21
2007,1,2,8,0,632.82,58.05,271.55,-1.93,2.76
2007,1,2,9,0,364.94,37.7,116.8,-2.2,2.9
2007,1,2,10,0,40.46,4.15,6.75,-2.95,2.34
2007,1,2,11,0,-0.0,0.0,0.0,-4.22,2.21
2007,1,2,12,0,-0.0,0.0,0.0,-5.19,2.28
2007,1,2,13,0,-0.0,0.0,0.0,-6.1,2.48
2007,1,2,14,0,-0.0,0.0,0.0,-6.86,2.62
2007,1,2,15,0,-0.0,0.0,0.0,-7.34,2.55
2007,1,2,16,0,-0.0,0.0,0.0,-7.77,2.62
2007,1,2,17,0,-0.0,0.0,0.0,-7.97,2.69
2007,1,2,18,0,-0.0,0.0,0.0,-8.0,2.83
2007,1,2,19,0,-0.0,0.0,0.0,-8.81,2.9
2007,1,2,20,0,-0.0,0.0,0.0,-8.98,2.83
2007,1,2,21,0,-0.0,0.0,0.0,-9.4,2.83
2007,1,2,22,0,-0.0,0.0,0.0,-10.03,2.76
2007,1,2,23,0,-0.0,0.0,0.0,-10.4,2.62
2007,1,3,0,0,-0.0,0.0,0.0,-11.0,3.24
2007,1,3,1,0,-0.0,0.0,0.0,-11.25,4.0
2007,1,3,2,0,814.05,62.55,174.95,-10.97,3.52
2007,1,3,3,0,735.68,102.6,306.65,-8.63,2.55
2007,1,3,4,0,679.88,136.35,395.2,-4.72,2.69
2007,1,3,5,0,527.73,176.7,409.5,-3.51,3.38
2007,1,3,6,0,373.41,192.4,362.1,-3.05,3.45
2007,1,3,7,0,171.51,189.45,261.45,-3.39,4.34
2007,1,3,8,0,21.65,128.5,135.85,-3.41,4.21
2007,1,3,9,0,21.0,42.4,47.0,-3.81,4.07
2007,1,3,10,0,4.5,4.35,4.65,-4.3,3.79
2007,1,3,11,0,-0.0,0.0,0.0,-4.99,3.66
2007,1,3,12,0,-0.0,0.0,0.0,-5.47,3.93
2007,1,3,13,0,-0.0,0.0,0.0,-5.86,4.28
2007,1,3,14,0,-0.0,0.0,0.0,-6.22,4.41
2007,1,3,15,0,-0.0,0.0,0.0,-6.56,4.28
2007,1,3,16,0,-0.0,0.0,0.0,-7.06,4.21
2007,1,3,17,0,-0.0,0.0,0.0,-7.45,4.14
