solution_id,optical_efficiency,total_cost_usd,peak_flux_kw_m2,helio_az_spacing,helio_rad_spacing
0,0.6231259883239526,354742978.30247205,676.4720855051817,2.4502683675734827,2.1289548108192613
1,0.6377047509557651,299071932.4899779,701.800656775569,2.7213093869470626,1.4623020435097904
2,0.6376267086480113,288031671.27008426,708.8178288381099,2.753110761266573,1.356297462444757
3,0.6447007328340483,241923712.47592774,751.8603810663654,1.9384207496325865,1.3977439280465522
4,0.6407864195418692,277163670.46926546,716.6884280119942,2.115594145043227,1.6508487786331814
5,0.6338667756766032,315152886.39231515,693.0000877955404,2.6733346959575397,1.6222176801415342
6,0.6318426360468554,320850309.2112346,690.2201670742074,2.311594426527301,1.9308491807532873
7,0.6279791306879491,335567579.2287302,683.7192780492619,2.3730592845099,2.018656120728429
8,0.6443776406495517,245710576.18023914,747.1351709706531,1.9584782215821135,1.426397459403019
9,0.6400993999516464,283542477.4504603,711.9420954002196,2.145651252115468,1.6937875030220975
10,0.6399243386415683,285186448.2849739,710.7782626756779,2.1533101844313913,1.7047288349019876
11,0.6258974875874765,346338503.1393522,679.4973335722076,2.5737185948434558,1.9542713505218143
12,0.6400452453647486,228388415.74769434,771.4487456345797,1.8643561762573648,1.2919373946533783
13,0.6317377406680579,321243472.8108343,690.0341381654509,2.313263216644535,1.93323316663505
14,0.6397519958588072,286812257.02907497,709.6498485220218,2.1608501811771887,1.7155002588245554
15,0.6396169053786511,227178497.38512677,773.4406431009919,1.8575416764785395,1.2822023949693422
16,0.6441626596403619,247504139.68056613,744.9951299456906,1.9678836407341678,1.4398337724773824
17,0.6328509409065086,319293628.5088912,690.9639309249004,2.6606367613313573,1.6645441288954754
18,0.6221125767783504,358843832.5025407,675.073241999232,2.4663908239807886,2.151986891401127
19,0.6276135645881311,336985286.5017342,683.1396167838649,2.378875108825187,2.026964441178839
20,0.6221125767783504,358843832.5025407,675.073241999232,2.4663908239807886,2.151986891401127
21,0.6447007328340483,241923712.47592774,751.8603810663654,1.9384207496325865,1.3977439280465522
22,0.6396169053786511,227178497.38512677,773.4406431009919,1.8575416764785395,1.2822023949693422
23,0.6407864195418692,277163670.46926546,716.6884280119942,2.115594145043227,1.6508487786331814
24,0.6441626596403619,247504139.68056613,744.9951299456906,1.9678836407341678,1.4398337724773824
25,0.6342913969782399,254213228.1587523,737.4971313362514,1.8,1.65695343405867
26,0.6409410618372817,282958166.8765474,712.3614085539424,2.1608501811771887,1.6758647262087365
27,0.6399560946626133,228173949.51782334,771.7985738271381,1.9045486473448372,1.262170723857218
28,0.618,298200000.00000006,702.3232323232323,1.8,2.2
29,0.636,217200000.0,791.7592592592591,1.8,1.2
30,0.6419524902647942,233271723.71494427,763.8417848052645,2.0976245132397087,1.2
31,0.6209946326485304,362576568.3897748,673.8410856289702,2.4502683675734827,2.2
