generation,best_fitness,pareto_front_size
1,5307.819617833634,8
2,5307.819617833634,8
3,5307.819617833634,8
4,5307.819617833634,8
5,5307.819617833634,8
6,5307.819617833634,8
7,5307.819617833634,8
8,5307.819617833634,8
9,5307.819617833634,8
10,5307.819617833634,8
11,5307.819617833634,8
12,5307.819617833634,8
13,5307.819617833634,8
14,5307.819617833634,8
15,5307.819617833634,8
16,5307.819617833634,8
17,5307.819617833634,8
18,5307.819617833634,8
19,5307.819617833634,8
20,5307.819617833634,8
21,5307.819617833634,8
22,5307.819617833634,8
23,5307.819617833634,8
24,5307.819617833634,8
25,5307.819617833634,8
26,5307.819617833634,8
27,5307.819617833634,8
28,5307.819617833634,8
29,5307.819617833634,8
30,5307.819617833634,8
